soil_id,meteo_id,rot_id
23,"(76, 376)",7110
5,"(75, 376)",7130
5,"(75, 373)",8110
11,"(77, 376)",2110
14,"(77, 372)",6130
20,"(75, 374)",5120
16,"(78, 373)",2120
63,"(77, 373)",6130
17,"(78, 374)",2130
16,"(78, 375)",2130
6,"(77, 372)",6110
15,"(77, 374)",5110
18,"(78, 373)",2120
23,"(77, 374)",6120
12,"(78, 375)",2110
21,"(75, 373)",8110
8,"(77, 375)",7120
5,"(77, 377)",7120
16,"(77, 374)",2120
8,"(76, 376)",7110
20,"(77, 375)",7110
7,"(78, 376)",6130
9,"(77, 377)",5110
21,"(75, 371)",8120
20,"(77, 376)",7130
3,"(77, 378)",5110
20,"(76, 375)",7120
3,"(77, 374)",2130
0,"(76, 372)",6130
20,"(79, 377)",1110
14,"(76, 372)",6130
106,"(77, 377)",4110
7,"(78, 376)",4120
12,"(79, 377)",1120
21,"(77, 373)",5120
23,"(77, 378)",5120
20,"(76, 373)",5110
114,"(76, 375)",7120
51,"(75, 372)",8120
14,"(77, 374)",2110
51,"(78, 375)",6110
23,"(77, 375)",7110
11,"(77, 375)",6120
103,"(77, 374)",2130
5,"(77, 375)",6110
21,"(77, 375)",6120
21,"(79, 377)",1120
18,"(77, 373)",6110
22,"(76, 373)",8110
21,"(77, 374)",6110
14,"(77, 377)",5110
3,"(78, 376)",2130
17,"(76, 372)",8130
19,"(78, 377)",1120
103,"(77, 377)",2130
14,"(77, 378)",5120
16,"(77, 377)",2130
19,"(78, 374)",2130
23,"(77, 374)",7120
5,"(77, 373)",6130
58,"(77, 374)",2110
107,"(77, 376)",6130
8,"(78, 375)",2110
12,"(78, 376)",3120
7,"(77, 375)",6120
18,"(78, 373)",6110
93,"(77, 373)",6120
65,"(76, 372)",6120
16,"(77, 373)",2130
14,"(75, 372)",8120
11,"(78, 377)",3120
53,"(77, 372)",6110
27,"(77, 373)",2110
7,"(78, 376)",4110
8,"(76, 373)",8110
7,"(78, 377)",1120
15,"(76, 374)",5130
5,"(78, 376)",3110
7,"(77, 373)",6110
7,"(78, 375)",3110
92,"(78, 374)",2130
5,"(75, 376)",7120
28,"(76, 373)",6110
27,"(75, 372)",9110
11,"(78, 374)",2130
23,"(76, 376)",7120
18,"(77, 373)",2130
3,"(77, 376)",6110
10,"(77, 373)",6130
7,"(78, 377)",3120
5,"(76, 373)",5110
5,"(76, 373)",5120
24,"(77, 374)",6110
18,"(77, 373)",5130
18,"(78, 375)",6120
16,"(75, 372)",9120
17,"(76, 374)",6120
9,"(77, 373)",6130
15,"(76, 373)",8110
21,"(75, 371)",8110
19,"(77, 373)",6130
23,"(75, 374)",6130
6,"(77, 374)",2130
106,"(78, 377)",4110
16,"(79, 377)",1130
8,"(75, 372)",8120
112,"(77, 375)",6120
20,"(78, 377)",3120
15,"(77, 375)",5130
17,"(76, 372)",8120
20,"(77, 373)",6130
11,"(78, 375)",6130
20,"(77, 374)",2130
7,"(77, 373)",6120
23,"(77, 377)",5110
20,"(78, 375)",3120
16,"(75, 373)",9130
8,"(78, 372)",6130
17,"(77, 373)",5120
15,"(79, 376)",1120
5,"(75, 375)",7120
53,"(77, 372)",6130
8,"(75, 373)",8110
23,"(76, 373)",8120
16,"(77, 373)",5120
27,"(75, 372)",8120
27,"(75, 373)",9120
15,"(77, 373)",5120
21,"(78, 375)",2110
21,"(78, 377)",5120
7,"(75, 373)",8130
21,"(77, 376)",5130
5,"(77, 377)",4120
5,"(78, 376)",4120
19,"(78, 376)",1130
112,"(76, 372)",6110
116,"(78, 376)",3110
22,"(77, 372)",6120
12,"(76, 373)",6130
28,"(78, 377)",1120
20,"(78, 377)",4110
19,"(79, 377)",1130
21,"(77, 374)",6120
129,"(77, 378)",5110
7,"(77, 377)",6120
6,"(78, 375)",2110
20,"(78, 376)",4110
20,"(75, 372)",8110
64,"(76, 374)",5120
7,"(77, 377)",6110
22,"(77, 376)",2130
58,"(77, 373)",2130
128,"(76, 373)",8120
5,"(78, 376)",4110
58,"(78, 376)",2120
20,"(78, 377)",3110
8,"(76, 375)",7130
11,"(77, 375)",6110
43,"(77, 375)",6120
65,"(77, 373)",6120
106,"(78, 375)",2130
93,"(78, 377)",3120
28,"(75, 373)",8120
7,"(77, 376)",2130
20,"(77, 375)",7120
21,"(75, 373)",9120
16,"(78, 374)",2110
3,"(78, 376)",6130
8,"(76, 372)",8110
107,"(77, 378)",5130
15,"(75, 374)",8130
92,"(78, 378)",5110
5,"(76, 373)",8120
23,"(77, 374)",6110
27,"(77, 375)",6120
10,"(78, 377)",1110
15,"(76, 372)",6130
24,"(78, 376)",6130
26,"(77, 373)",6130
15,"(77, 378)",5130
15,"(78, 375)",2110
106,"(77, 377)",5120
9,"(75, 372)",8120
3,"(75, 372)",8110
6,"(77, 374)",6120
7,"(78, 377)",3130
7,"(75, 373)",8120
23,"(77, 375)",6120
68,"(78, 376)",1130
50,"(77, 376)",5120
28,"(79, 377)",1120
12,"(78, 376)",3130
119,"(77, 375)",6130
23,"(75, 372)",8130
10,"(78, 377)",2110
24,"(77, 373)",2130
22,"(77, 374)",2120
20,"(77, 377)",7110
15,"(76, 375)",5110
7,"(78, 377)",5110
22,"(77, 376)",2120
22,"(78, 374)",6120
12,"(78, 377)",1120
65,"(75, 372)",8130
28,"(76, 373)",6120
15,"(75, 374)",5130
28,"(78, 377)",5130
12,"(77, 376)",2130
18,"(79, 375)",2120
15,"(77, 372)",6110
58,"(78, 373)",2130
28,"(77, 373)",6110
15,"(78, 374)",6130
7,"(78, 375)",3120
28,"(75, 373)",6110
23,"(76, 373)",5130
93,"(77, 373)",6110
7,"(78, 378)",5110
5,"(75, 373)",9120
10,"(78, 374)",6110
5,"(76, 375)",7120
103,"(78, 376)",2130
7,"(75, 373)",9110
21,"(75, 372)",8130
5,"(75, 371)",8110
28,"(75, 373)",8130
65,"(77, 375)",6110
20,"(78, 375)",6120
28,"(78, 374)",2130
53,"(78, 375)",4110
66,"(77, 372)",6110
6,"(78, 375)",4120
20,"(76, 376)",7130
92,"(78, 374)",6130
18,"(77, 372)",6110
8,"(75, 373)",9120
22,"(76, 372)",6120
5,"(77, 377)",4110
20,"(78, 376)",6130
17,"(77, 377)",2120
27,"(75, 373)",8110
46,"(76, 372)",8120
27,"(76, 372)",8120
24,"(79, 377)",1130
5,"(78, 378)",5130
7,"(77, 372)",6120
28,"(78, 373)",2110
20,"(78, 375)",3110
21,"(77, 375)",6110
50,"(77, 375)",2120
9,"(77, 373)",2130
23,"(78, 377)",5120
51,"(78, 374)",6110
28,"(75, 373)",8110
23,"(77, 377)",5130
11,"(78, 374)",6130
17,"(77, 373)",2110
12,"(79, 377)",1110
8,"(75, 373)",8120
9,"(78, 374)",6110
20,"(75, 373)",6110
5,"(76, 373)",6110
128,"(75, 373)",8130
15,"(77, 375)",6110
21,"(75, 373)",9130
14,"(76, 372)",8130
9,"(76, 372)",8130
116,"(78, 377)",3130
3,"(76, 372)",6110
8,"(75, 374)",5130
5,"(77, 374)",7120
24,"(78, 376)",2120
7,"(79, 376)",1110
6,"(78, 376)",4110
9,"(77, 377)",5120
53,"(77, 373)",6130
7,"(77, 372)",6110
10,"(77, 377)",5130
51,"(77, 374)",2110
20,"(76, 372)",6120
7,"(78, 374)",6130
112,"(77, 373)",2130
114,"(76, 375)",7110
20,"(75, 373)",6120
15,"(77, 377)",6120
8,"(78, 375)",6130
58,"(78, 373)",2120
5,"(77, 378)",5130
7,"(76, 373)",8110
21,"(77, 375)",7120
17,"(77, 372)",6120
20,"(75, 374)",5110
25,"(77, 373)",6110
65,"(77, 375)",6120
21,"(78, 377)",5110
10,"(79, 376)",1110
23,"(77, 373)",5120
50,"(78, 374)",2120
15,"(75, 372)",9130
107,"(77, 378)",4110
20,"(76, 374)",5130
9,"(77, 376)",6130
12,"(77, 373)",6110
23,"(77, 372)",6110
12,"(78, 376)",3110
18,"(77, 372)",6120
3,"(77, 376)",6130
65,"(75, 373)",8110
22,"(78, 374)",6110
126,"(77, 376)",5120
24,"(78, 375)",2130
51,"(77, 375)",6130
9,"(76, 373)",5110
21,"(78, 377)",4110
17,"(78, 374)",6110
7,"(77, 374)",2110
20,"(76, 373)",8120
5,"(78, 377)",3110
6,"(78, 375)",4110
10,"(78, 376)",2110
46,"(77, 375)",6120
24,"(77, 376)",6120
28,"(75, 374)",5110
17,"(77, 372)",6110
12,"(76, 372)",8120
17,"(77, 377)",4120
8,"(78, 372)",6110
23,"(76, 373)",5110
28,"(78, 374)",2110
27,"(77, 372)",6130
16,"(75, 373)",9110
14,"(75, 373)",9110
27,"(75, 373)",6130
6,"(78, 374)",6120
63,"(77, 372)",6130
14,"(76, 374)",5110
20,"(78, 376)",2120
28,"(77, 378)",5130
65,"(78, 377)",5110
9,"(75, 372)",8110
103,"(78, 374)",2110
7,"(76, 374)",6120
8,"(77, 373)",2110
8,"(77, 376)",7120
19,"(78, 376)",2120
51,"(77, 376)",7110
20,"(78, 377)",2120
15,"(77, 373)",5130
58,"(78, 375)",2130
17,"(76, 372)",8110
21,"(78, 374)",6110
17,"(78, 374)",6120
11,"(78, 377)",1120
107,"(77, 378)",5110
23,"(77, 376)",6120
5,"(77, 373)",5130
16,"(77, 376)",6120
27,"(77, 375)",6110
5,"(76, 374)",7130
9,"(78, 374)",6120
23,"(75, 373)",8110
5,"(76, 377)",7120
46,"(75, 372)",8130
5,"(78, 377)",5120
9,"(78, 374)",6130
5,"(78, 375)",6110
7,"(78, 374)",2110
33,"(75, 373)",8130
15,"(76, 371)",8120
18,"(79, 376)",1130
21,"(77, 374)",2130
5,"(78, 375)",6120
8,"(75, 372)",8110
21,"(76, 374)",7110
8,"(77, 375)",7110
65,"(77, 377)",6120
17,"(77, 375)",6120
128,"(76, 372)",8110
5,"(78, 376)",3130
106,"(75, 371)",8120
58,"(77, 373)",6110
19,"(78, 377)",2110
21,"(78, 375)",2130
92,"(75, 373)",6120
20,"(78, 377)",4120
15,"(76, 374)",5120
9,"(77, 372)",6130
20,"(77, 377)",5120
58,"(78, 376)",4120
28,"(77, 372)",6120
14,"(76, 374)",5130
6,"(78, 374)",6130
16,"(77, 378)",4110
21,"(77, 373)",5110
6,"(77, 377)",2120
46,"(77, 378)",4120
3,"(78, 374)",2110
78,"(76, 374)",5130
23,"(77, 375)",5120
18,"(77, 374)",6130
92,"(77, 376)",6120
53,"(77, 372)",6120
9,"(77, 376)",6110
28,"(77, 373)",5130
12,"(77, 374)",2130
18,"(79, 377)",1120
103,"(77, 377)",5130
21,"(75, 372)",9130
50,"(77, 376)",5130
119,"(78, 375)",2110
50,"(78, 375)",2120
43,"(77, 372)",6120
23,"(76, 372)",6120
56,"(77, 378)",5130
112,"(78, 373)",2130
14,"(76, 374)",5120
5,"(76, 372)",6130
93,"(77, 372)",6130
6,"(77, 374)",6110
114,"(76, 375)",7130
106,"(77, 377)",5110
7,"(78, 377)",2120
10,"(78, 375)",6120
15,"(77, 377)",7110
21,"(79, 377)",1130
23,"(78, 377)",5130
50,"(78, 377)",5130
20,"(76, 371)",8120
15,"(78, 377)",4110
51,"(77, 378)",4120
7,"(76, 372)",8130
5,"(78, 377)",1110
15,"(78, 377)",3120
43,"(77, 372)",6110
92,"(77, 376)",6110
5,"(75, 375)",7130
8,"(76, 374)",5130
20,"(75, 373)",6130
5,"(76, 371)",8110
7,"(76, 373)",5110
22,"(77, 373)",6120
21,"(78, 374)",2120
11,"(76, 372)",8130
58,"(78, 375)",6130
15,"(75, 372)",8120
10,"(78, 377)",2130
64,"(76, 374)",5130
23,"(76, 371)",8130
65,"(76, 373)",8120
107,"(78, 374)",2130
126,"(77, 376)",5110
28,"(77, 374)",2130
21,"(77, 377)",7120
6,"(77, 374)",2120
23,"(77, 375)",7130
28,"(78, 377)",5120
28,"(75, 373)",9120
14,"(75, 373)",8130
92,"(75, 373)",6110
20,"(77, 377)",2120
107,"(78, 376)",4110
15,"(77, 374)",2130
5,"(78, 374)",2110
58,"(79, 375)",2120
22,"(77, 374)",6110
24,"(77, 374)",6120
120,"(77, 378)",5130
19,"(78, 375)",6110
5,"(77, 375)",7120
5,"(77, 377)",7130
10,"(78, 374)",6120
15,"(77, 377)",5120
8,"(78, 378)",5130
11,"(77, 376)",6130
14,"(76, 372)",8120
50,"(77, 375)",2110
5,"(77, 376)",6120
10,"(79, 377)",1110
28,"(78, 374)",2120
20,"(78, 375)",6130
21,"(78, 374)",6120
21,"(78, 375)",6130
9,"(78, 375)",6130
23,"(78, 377)",5110
16,"(78, 375)",2110
12,"(78, 373)",2130
17,"(77, 374)",5130
18,"(78, 376)",2120
118,"(78, 377)",3130
9,"(76, 373)",6130
23,"(77, 376)",6110
15,"(76, 373)",6110
21,"(78, 376)",4120
24,"(77, 374)",2120
19,"(78, 374)",6110
112,"(77, 374)",2120
51,"(77, 375)",6110
9,"(77, 372)",6110
5,"(76, 373)",5130
50,"(78, 377)",4110
21,"(78, 377)",5130
10,"(77, 373)",2120
5,"(77, 377)",5130
5,"(75, 374)",5130
19,"(78, 377)",1110
18,"(78, 375)",2120
8,"(75, 374)",6130
23,"(78, 377)",1120
5,"(77, 377)",2120
18,"(78, 374)",6130
16,"(78, 374)",2130
23,"(77, 375)",6130
50,"(75, 372)",8130
7,"(77, 376)",6110
10,"(77, 377)",5110
28,"(78, 378)",5120
112,"(77, 373)",2110
8,"(77, 373)",6120
28,"(77, 377)",2130
7,"(79, 376)",1120
19,"(78, 376)",1110
20,"(76, 375)",7130
107,"(78, 376)",4120
21,"(78, 374)",6130
24,"(78, 376)",6120
19,"(77, 375)",2130
12,"(77, 373)",6120
23,"(76, 373)",8110
8,"(75, 374)",6120
8,"(77, 374)",6130
23,"(76, 374)",5120
10,"(77, 374)",6110
112,"(78, 373)",2110
5,"(77, 376)",7110
24,"(78, 377)",2120
65,"(76, 373)",8130
43,"(77, 375)",6130
7,"(77, 378)",5130
5,"(78, 378)",1120
15,"(77, 375)",5120
21,"(76, 376)",7130
20,"(76, 372)",6130
20,"(77, 377)",4110
28,"(76, 375)",7120
50,"(78, 377)",5110
8,"(75, 373)",8130
23,"(78, 378)",5120
27,"(75, 371)",8130
27,"(77, 374)",6120
6,"(78, 373)",2120
22,"(78, 374)",2120
5,"(76, 373)",6120
18,"(77, 373)",2110
20,"(76, 373)",8130
107,"(77, 376)",6110
6,"(77, 373)",2130
12,"(76, 373)",6120
7,"(77, 375)",2120
92,"(78, 374)",2110
65,"(76, 372)",8120
21,"(78, 377)",3130
28,"(77, 378)",5110
58,"(77, 377)",5130
27,"(77, 374)",6110
7,"(75, 371)",8120
15,"(77, 376)",6110
16,"(77, 376)",2120
28,"(75, 373)",9110
5,"(75, 372)",8110
18,"(78, 375)",3130
17,"(76, 372)",6110
15,"(76, 372)",6110
16,"(78, 376)",2130
58,"(78, 376)",4110
93,"(77, 372)",6110
6,"(78, 375)",2130
20,"(77, 373)",5110
21,"(77, 377)",7130
128,"(76, 372)",8120
46,"(76, 372)",8110
11,"(78, 375)",6120
10,"(77, 377)",2120
17,"(76, 371)",8110
9,"(78, 375)",2120
20,"(77, 376)",5120
21,"(76, 371)",8130
15,"(78, 375)",2130
10,"(78, 375)",6130
92,"(76, 376)",7110
65,"(76, 372)",8130
23,"(76, 374)",7130
5,"(78, 374)",6120
3,"(78, 374)",2120
28,"(77, 376)",6120
21,"(79, 376)",1130
16,"(78, 374)",6110
73,"(77, 376)",6110
17,"(76, 374)",6130
10,"(77, 373)",6110
12,"(76, 371)",8110
8,"(77, 374)",6120
16,"(77, 377)",2120
15,"(75, 374)",6120
19,"(78, 376)",3110
19,"(77, 375)",2120
20,"(78, 374)",2130
10,"(78, 373)",2110
5,"(79, 376)",1110
18,"(77, 374)",6120
8,"(78, 375)",2130
65,"(77, 376)",6110
3,"(77, 377)",2110
5,"(77, 373)",6110
5,"(75, 372)",9130
19,"(79, 376)",1130
5,"(75, 376)",7110
23,"(75, 371)",8120
20,"(77, 375)",2110
12,"(76, 372)",6120
17,"(77, 375)",7120
5,"(78, 377)",1130
46,"(76, 372)",8130
21,"(76, 376)",7120
5,"(75, 373)",6120
19,"(77, 374)",2120
92,"(78, 374)",6110
3,"(78, 377)",3130
20,"(78, 377)",1130
9,"(77, 372)",6120
22,"(78, 376)",2120
58,"(78, 375)",6110
21,"(78, 374)",2130
5,"(78, 378)",1130
28,"(79, 377)",1110
120,"(77, 378)",5110
65,"(77, 377)",6130
20,"(77, 376)",6130
28,"(77, 374)",7120
65,"(77, 372)",6130
16,"(77, 373)",6130
22,"(78, 374)",2130
6,"(77, 374)",5120
11,"(77, 375)",6130
51,"(77, 374)",2130
20,"(77, 373)",5130
11,"(77, 377)",6110
28,"(76, 376)",7110
20,"(79, 378)",1110
20,"(77, 374)",2110
28,"(77, 375)",5120
5,"(77, 374)",7110
11,"(77, 375)",5130
19,"(77, 374)",2110
16,"(77, 374)",6130
58,"(77, 375)",2130
11,"(78, 377)",3130
0,"(76, 372)",6120
16,"(77, 372)",6110
8,"(77, 376)",6120
114,"(75, 373)",8120
9,"(75, 373)",8120
128,"(75, 373)",8120
10,"(77, 377)",2130
50,"(78, 377)",5120
18,"(77, 376)",6130
24,"(78, 377)",1130
7,"(77, 378)",5120
5,"(76, 374)",6130
10,"(79, 376)",1130
16,"(78, 375)",3130
7,"(75, 374)",6130
20,"(79, 376)",1120
18,"(77, 374)",2110
10,"(78, 375)",3110
19,"(77, 375)",2110
8,"(78, 378)",5120
7,"(78, 375)",3130
17,"(78, 376)",4110
20,"(77, 372)",6110
107,"(77, 378)",4120
11,"(77, 375)",5120
7,"(78, 373)",2110
74,"(77, 376)",2120
16,"(76, 372)",8130
10,"(77, 376)",5120
106,"(77, 378)",5130
28,"(75, 374)",6120
15,"(76, 375)",7130
20,"(77, 376)",5130
106,"(77, 376)",6120
15,"(75, 373)",9120
17,"(76, 371)",8130
20,"(78, 375)",2120
125,"(78, 377)",1110
23,"(77, 374)",5130
68,"(79, 377)",1110
28,"(77, 375)",7110
20,"(78, 375)",3130
58,"(77, 376)",2130
68,"(78, 376)",1120
68,"(79, 376)",1110
16,"(78, 373)",2110
5,"(76, 376)",7120
7,"(78, 376)",3110
23,"(76, 372)",8110
51,"(75, 373)",9110
8,"(78, 375)",2120
103,"(77, 377)",5110
16,"(78, 376)",6110
17,"(75, 373)",6110
116,"(78, 377)",3120
22,"(78, 376)",2110
19,"(79, 376)",1120
21,"(78, 376)",2110
16,"(77, 373)",5130
20,"(77, 374)",6120
15,"(76, 374)",7120
10,"(78, 375)",6110
114,"(78, 378)",5130
114,"(75, 373)",8130
15,"(78, 377)",5110
10,"(78, 374)",2110
21,"(77, 377)",7110
65,"(76, 372)",6110
15,"(76, 373)",8120
6,"(77, 378)",5120
8,"(77, 373)",2130
3,"(77, 373)",2120
24,"(77, 375)",2120
3,"(77, 374)",2110
17,"(77, 374)",5110
16,"(79, 377)",1120
43,"(77, 375)",6110
16,"(76, 372)",8110
6,"(78, 374)",2110
19,"(78, 376)",3120
7,"(77, 376)",5120
7,"(78, 374)",6120
7,"(78, 374)",2130
5,"(77, 373)",5110
12,"(77, 377)",5110
15,"(78, 375)",3130
12,"(77, 372)",6110
23,"(76, 373)",6120
22,"(77, 375)",6120
106,"(77, 377)",7130
11,"(79, 377)",1120
5,"(79, 378)",1130
126,"(77, 375)",6130
15,"(78, 376)",4110
110,"(76, 372)",8120
92,"(77, 375)",6120
28,"(77, 373)",6120
103,"(78, 375)",6130
92,"(78, 377)",5110
11,"(78, 374)",6120
53,"(77, 374)",2110
22,"(78, 373)",2120
119,"(78, 375)",2120
27,"(75, 373)",6120
8,"(77, 373)",6110
11,"(77, 372)",6110
9,"(77, 374)",2120
50,"(77, 378)",5110
5,"(77, 375)",6130
22,"(77, 376)",6110
5,"(77, 378)",4110
7,"(77, 374)",2130
20,"(79, 377)",1130
58,"(77, 377)",2120
9,"(77, 373)",2120
11,"(77, 376)",2130
74,"(77, 372)",6110
22,"(76, 373)",6130
53,"(78, 375)",2120
27,"(76, 373)",8110
14,"(77, 374)",2120
5,"(78, 375)",3130
78,"(77, 372)",6120
12,"(78, 375)",2130
17,"(76, 373)",6130
27,"(75, 373)",6110
7,"(76, 374)",5120
7,"(79, 377)",1120
21,"(77, 377)",5110
6,"(77, 372)",6130
27,"(75, 372)",8130
15,"(77, 374)",7110
3,"(77, 374)",6120
15,"(75, 372)",8110
128,"(75, 373)",6130
30,"(77, 372)",6110
22,"(78, 375)",6110
7,"(78, 377)",2130
15,"(78, 374)",6120
21,"(78, 377)",3110
20,"(75, 373)",8120
15,"(75, 373)",6130
53,"(77, 377)",5130
92,"(75, 373)",8110
53,"(78, 375)",3130
7,"(77, 374)",6110
63,"(77, 376)",6110
28,"(76, 374)",5110
10,"(78, 375)",3120
23,"(76, 372)",8130
22,"(77, 377)",6130
20,"(75, 373)",9110
19,"(78, 377)",2130
9,"(77, 373)",6110
119,"(77, 375)",6120
7,"(77, 378)",4110
78,"(77, 377)",5130
20,"(77, 375)",5120
32,"(77, 372)",6120
16,"(77, 376)",2130
11,"(77, 374)",6130
5,"(77, 375)",7130
14,"(75, 373)",9120
14,"(75, 371)",8130
51,"(76, 374)",5120
58,"(77, 376)",6130
28,"(77, 373)",5120
14,"(76, 372)",8110
18,"(79, 376)",1110
